Name,Start,End
A,7:17,8:22
Passing A-2,8:22,8:30
2,8:30,10:05
Passing 2-4,10:05,10:13
4,10:13,11:48
Lunch,11:48,12:18
Passing L-C,12:18,12:26
CAP,12:26,13:21
Passing C-6,13:21,13:29
6,13:29,15:04
Passing 6-B,15:04,15:12
B,15:12,16:17
