Name,Start,End
1,8:30,10:05
Passing 1-3,10:05,10:13
3,10:13,11:48
Passing 3-C,11:48,11:56
CAP,11:56,12:26
Lunch,12:26,12:56
Passing L-5,12:56,13:04
5,13:04,14:39
